DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
2/26/2016,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,0,14,"A suicide bomber blew the entrance of the SYL hotel in Mogadishu allowing gunmen to storm the hotel and clash with the hotel guards. Government forces arrived and ended the attack. Five militants, including the suicide bomber and at least 9 civilians were killed. Al Shabaab claimed responsibility. ","2.0349312,45.3419183","Assault,Explosion",2016
2/21/2016,Syria,,,,,Islamic State,180,134,"Islamic State militants detonated a car bomb and later launched 2 suicide bombings, about 400 meters from Sayyidah Zaynab Mosque, a Shia shrine, believed to contain the grave of Prophet Muhammad's granddaughter. 83 to 134 people were killed and 180 wounded, including children. Syrian media said the attack occurred when pupils were leaving school in the area. At least 60 shops were damaged as well as cars in the area. Islamic State claimed responsibility. ","34.6401861,39.0494106",Explosion,2016
2/21/2016,Syria,Homs Governorate,Homs,Western Asia,Asia,Islamic State,100,57,"Two bombings occurred in pro Government, mainly Shia inhabited, Zahraa neighbourhood in Homs. The first blast was caused by a car bomb and the second 1 was a result of a car bomb or a suicide bombing. 57 people were killed and at least 100 wounded. Islamic State claimed responsibility. ","34.7333334,36.7166667",Explosion,2016
2/18/2016,Turkey,,,Western Asia,Asia,Kurdistan Freedom Falcons,1,6,A bomb killed at least 6 soldiers and another were injured. The attack occurred on 18 February 2016 in Diyarbakir a city in Diyarbakir Province. ,"38.9597594,34.9249653",Explosion,2016
2/17/2016,Turkey,Ankara Province,Ankara,Western Asia,Asia,Kurdistan Freedom Falcons,61,30,"At least 30 people died and 61 were injured in the Turkish capital. The attack targeted the army buses near the central square of Kizilay. Many ministries, the headquarters of the army and the Turkish parliament are in this neighbourhood. The Turkish news channels showed images of a raging fire that engulfed military vehicles. The explosion was audible several kilometers away. ","39.9207886,32.8540482",Explosion,2016
2/11/2016,United States,Ohio,Columbus,Northern America,Americas,Islamic State,4,0,An attacker injures 4 in machete attack at a restaurant ,"39.9622601,-83.0007065",,2016
2/8/2016,Iraq,,,,,Islamic State,0,300,"Islamic State have executed over 300 police and army personal, as well as civil activists by firing squad in Mosul. ","33.0955793,44.1749775",Assault,2016
2/2/2016,Somalia,,,,,Al Shabaab,2,0,"20 minutes after take off, a passenger in Daallo Airlines Flight 159, detonated an explosive device in the Airbus A321, opening a hole in the fuselage behind the R2 door. The crew turned the plane around and successfully performed an emergency landing at Mogadishu's Aden Adde International Airport. Two injuries were reported and another body, believed to be that of the perpetrator was found on the ground in Somalia. ","8.3676771,49.083416",Explosion,2016
2/1/2016,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,29,20,A suicide bomber blew himself up within a queue at the entrance of the headquarters of the Afghan National Civil Order Police in Kabul. The blast killed at least 20 people and another 29 were injured. Taliban claimed responsibility. ,"34.5260109,69.1776838",Explosion,2016
1/31/2016,Syria,Damascus Governorate,Damascus,Western Asia,Asia,Islamic State of Iraq and the Levant (ISIL),110,60,At least 60 people were killed and 110 wounded in twin blasts in the mainly Shi'ite neighbourhood of Sayeda Zeinab. ,"33.5130695,36.3095814",Explosion,2016
1/30/2016,Nigeria,,,Western Africa,Africa,Boko Haram,0,86,"At least 86 people are killed and hundreds others injured in an attack by Boko Haram militants on Dalori 4 kilometers from Maiduguri, Borno. ","9.6000359,7.9999721",,2016
1/27/2016,Iraq,Al Anbar Governorate,Ramadi,Western Asia,Asia,Islamic State of Iraq and the Levant (ISIL),0,55,"Up to a dozen car bombs were set off, attacking the tenth Iraqi Army division. The attack killed 55 Iraqi soldiers and pro government tribal fighters, wounding an unknown number as well. ISIL claimed responsibility. ","33.4259859,43.2999218",Explosion,2016
1/25/2016,Cameroon,,,Middle Africa,Africa,Boko Haram,65,28,"Four suicide bombers attacked a busy market in Bodo, Far North Region, close to the Nigerian border. The blasts killed over 30 people and wounded another 65. No group claimed responsibility, but Boko Haram is suspected. ","4.6125522,13.1535811",Explosion,2016
1/22/2016,Somalia,,,,,Al Shabaab,17,20,"Al Shabaab militants struck with a suicide car bomb at the gate of a seafood restaurant overlooking Mogadishu's Lido Beach. Another blast struck about an hour later as government soldiers laid siege to the restaurant. After the blasts, militants entered the near crowded hotel, some of them by boat, and attacked civilians within. At least 20 people were killed and 17 were wounded. Four perpetrators were also killed and 1 was captured. Al Shabaab claimed responsibility, saying the attackers used AK 47s and suicide vests. ","8.3676771,49.083416",Explosion,2016
1/20/2016,Pakistan,Khyber Pakhtunkhwa,Charsadda,Southern Asia,Asia,Taliban,60,20,"Several gunmen, some equipped with suicide vests, opened fire on Bacha Khan University in Khyber Paktunkhwa, killing 20 people and wounding another 20. At least 4 of the attackers were also killed during the attack. More than 200 students were rescued from the building. Tehrik i Taliban Pakistan claimed responsibility, and it was perpetrated by members of the Geedar faction faction. However, the umbrella group, Taliban, denied and condemned the attack. ","34.1461506,71.7337719",Assault,2016
1/16/2016,Syria,Deir ez-Zor Governorate,Deir ez-Zor,Western Asia,Asia,Islamic State of Iraq and the Levant (ISIL),0,300,"Islamic State militants attacked the neighbourhoods of Begayliya and Ayash, killing dozens of people in an execution style mass murder. Fatality estimates variates between 135 and over 300. International sources reported that the attack was against Syrian Army personnel and killed 85 Syrian soldiers along with 50 civilians, while Syrian sources said over 300 people were killed, most of whom were children and women. The Islamic State organization claimed responsibility for the attack and claimed suicide bombers were used. ","35.3333335,40.1499999",Explosion,2016
1/15/2016,Burkina Faso,Centre,Ouagadougou,Western Africa,Africa,Al Qaeda,56,30,"Gunmen attacked with heavy weapons the restaurant Cappuccino and the Hotel Splendid in the city centre, where more than 100 hostages were taken. 29 people were killed and more than 56 injured. ","12.3681873,-1.5270944","Assault,Hostage",2016
1/15/2016,Somalia,,,,,Al Shabaab,0,63,A massive attack on a Kenyan run African Union base in Gedo. ,"8.3676771,49.083416",,2016
1/14/2016,Indonesia,Jakarta,Jakarta,South-Eastern Asia,Asia,Islamic State of Iraq and the Levant (ISIL),24,4,Several explosions followed by gunfire occurred with a Starbucks and a police station appearing to be the main targets. The attack involved 7 participants and was directed by ISIL. ,"-6.1753942,106.827183","Assault,Explosion",2016
1/13/2016,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Taliban,25,15,"A suicide bomber detonated himself near security personal vehicles close to a polio centre in a town near Balochistan's largest city, killing at least 15 people, including 13 policemen and 1 soldier killed and wounding another 25, including 18 policemen, 2 soldiers and 6 civilians. Both Tehrik i Taliban Pakistan and Jaishul Islam claimed responsibility. ","30.1957677,67.0172447",Explosion,2016
1/12/2016,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,Islamic State of Iraq and the Levant (ISIL),9,13,"A suicide bomber blew himself up near Hippodrome of Constantinople near the Sultan Ahmed Mosque, killing 13 people and wounding another 9, most of whom were foreign tourists. No group claimed responsibility, but Turkish authorities suspect ISIL. ","41.0091982,28.9662187",Explosion,2016
1/11/2016,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State of Iraq and the Levant (ISIL),19,12,At least 12 people were killed in an attack on the shopping centre al Jawhara mall after a car bomb exploded outside. Hostages were taken by 6 gunmen in the incident. At least 19 people were injured. ,"33.3024309,44.3787992","Assault,Explosion,Hostage",2016
1/11/2016,Iraq,,,Western Asia,Asia,Islamic State of Iraq and the Levant (ISIL),0,100,"Two huge bomb blasts, 1 at a tea shop and the other at a mosque, killed at least 100 people in a township in Iraq's northern Diyala Governorate. ","33.0955793,44.1749775",Explosion,2016
1/8/2016,Egypt,Red Sea Governorate,Hurghada,Northern Africa,Africa,Islamic State of Iraq and the Levant (ISIL),3,0,"Two militants armed with a melee weapon and a signal flare, arrived by sea and stormed Bella Vista Hotel in the Red Sea city, stabbing 3 foreign tourists from Sweden and Austria. One of the assailants was shot dead and the other was wounded by security forces. ","27.222556,33.8307062",Assault,2016
1/7/2016,Libya,,,,,Islamic State of Iraq and the Levant (ISIL),200,60,"A suicide truck bomb was detonated at a police training camp al Jahfal while around 400 young policemen were being trained in the Libyan town, killing 60 people and wounding 200 others. No group claimed responsibility; ISIL is suspected. ","26.8234472,18.1236723",Explosion,2016
1/7/2016,United States,Pennsylvania,Philadelphia,Northern America,Americas,,1,0,"On January 7, 2016, in West Philadelphia, Pennsylvania, during late evening, a gunman shot Philadelphia police officer Jesse Hartnett, who was driving a marked police car. Hartnett survived, despite being shot multiple times in the left arm. He was able to get out of his car to shoot the fleeing suspect, Edward Archer. Later in the hospital, Archer said that he pledged allegiance to ISIL. ","39.9527237,-75.1635262",Assault,2016
1/7/2016,France,,,,,Tarek Belgacem,1,0,"An asylum seeker shouted ""Allahu Akbar!"" outside a police station in Goutte d'Or, near Montmartre, where police shot and killed him while a by passer was shot. Reports say he was wielding a knife and fake suicide vest. ","46.603354,1.8883335",Assault,2016
1/2/2016,India,Punjab,Pathankot,Southern Asia,Asia,Jaish-e-Mohammad (JeM),20,8,"Militants disguised as soldiers attacked an Indian air base killing 7 security force members, including Subedar Fateh Singh, who won gold and silver medals in the first Commonwealth Shooting Championships held in 1995, before being killed after a 15 hour gunfight. A civilian was also killed in the attack. ","32.2692452,75.6528858",Assault,2016
1/1/2016,Israel,Tel Aviv District,Tel Aviv,Western Asia,Asia,Nasha'at Melhem,7,3,"A gunman identified as Arab Israeli Nasha'at Melhem (via CCTV footage), fired into a crowded pub and several other businesses in Dizengoff Street, killing 2 civilians and wounding another seven. After fleeing, the attacker took a cab and then shot the driver dead. ","32.0852997,34.7818064",Assault,2016
12/27/2013,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,70,8,"Assassination of Mohamad Chatah: At approximately 9:40am, a car bomb struck the convoy of Mohamad Chatah, a former Lebanese minister of finance and ambassador to the United States. ","33.8959203,35.47843",Explosion,2013
12/25/2013,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,,37,38,"2013 Baghdad Christmas Day bombings: On 25 December 2013, 3 separate bombings in Baghdad, Iraq targeted Christians, killing 38 people and wounding 70 others. ","33.3024309,44.3787992",Explosion,2013
12/5/2013,Yemen,Sana'a,,Western Asia,Asia,Al Qaeda,200,56,"2013 Sanaa attack: A suicide bomber drove an explosive laden car towards the western entrance of the Defense Ministry complex. The suicide car bombing was followed by a coordinated attack by militants in another car. The attack saw at least 25 casualties, 6 of them were doctors and 4 were patients from a hospital within the complex. Another coordinated attack and gunfight outside the complex late afternoon was reported to have taken place. ","15.3538569,44.2058841","Assault,Explosion",2013
10/28/2013,China,Beijing,,Eastern Asia,Asia,East Turkestan Islamic Movement,38,5,"2013 Tiananmen Square attack: An SUV truck drove off the road at north of Tiananmen Square, passed the barriers and was suspected to caught fire almost directly in front of the main entrance Monday the sport utility vehicle veered off the road at the north of the square and crossed the barriers. The vehicle was suspected to caught fire almost directly in front of the portrait of Mao Zedong, founder of the People's Republic of China, at the main entrance of the Forbidden City. The incident took the lives of all 3 occupants of the vehicle, who were suspected to be Uighurs and 2 tourists, 1 Filipina and 1 Chinese. The incident was suspected to be a suicide attack perpetrated by Uighur separatists. ","39.906217,116.3912757",,2013
10/27/2013,India,Bihar,Patna,Southern Asia,Asia,Indian Mujahideen,66,5,2013 Patna bombings: Eight bombs exploded in the city just before BJP opposition prime ministerial candidate Narendra Modi was due to speak in the lead up to the 2014 Indian general election ,"25.6093239,85.1235252",Explosion,2013
9/21/2013,Kenya,Nairobi,Nairobi,Eastern Africa,Africa,Al Shabaab,0,68,"Westgate shopping mall attack: A group of around 10 men entered the Westgate Shopping Mall, an exclusive shopping centre in the capital of Kenya, Nairobi. 68 deaths have been confirmed and 100 injuries have been confirmed. Grenades and shooting were reported in the mall. ","-1.2832533,36.8172449","Assault,Explosion",2013
9/13/2013,Afghanistan,Herat,,Southern Asia,Asia,Taliban,20,2,"2013 attack on U.S. consulate in Herat: A group of 7 Taliban militants attacked the U.S. consulate using truck bombs, assault rifles, and rocket propelled grenades ","34.3508273,62.2164003","Assault,Explosion",2013
9/9/2013,Philippines,Zamboanga Sibugay,Zamboanga,South-Eastern Asia,Asia,Moro National Liberation Front (MNLF),0,220,Zamboanga City crisis: Moro National Liberation Front and Government forces clashes in Zamboanga City ,"6.9046909,122.076462",,2013
8/21/2013,Syria,,,Western Asia,Asia,Syrian Arab Army / Syrian rebels,0,0,Ghouta chemical attack: A series of chemical attacks were conducted in the Ghouta region of Syria. ,"34.6401861,39.0494106",,2013
7/27/2013,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,9,6,2013 Mogadishu Turkish embassy attack: A suicide bomber drove a truck into the gate of the Turkish embassy. ,"2.0349312,45.3419183",Explosion,2013
7/20/2013,Colombia,Arauca,,South America,Americas,Revolutionary Armed Forces of Colombia (FARC),6,21,"2013 Colombian clashes: During clashes over 2 days, 17 Colombian forces died on the first day and 4 others the next day. At the same time the rebels, believed to be either FARC or ELN, had taken U.S. citizen Kevin Scott Sutay hostage on 20 June. The attacks occurred during peace talks in Cuba between the government and FARC. ","6.7940425,-70.49616220398214",Hostage,2013
7/12/2013,United Kingdom,England,Tipton,Northern Europe,Europe,Pavlo Lapshyn,0,0,Part of 4 attacks by Pavlo Lapshyn. A homemade bomb was left and detonated outside a mosque in Tipton during Friday prayers. ,"52.5290396,-2.0693747",Explosion,2013
7/6/2013,Nigeria,,,Western Africa,Africa,Boko Haram,0,42,"Yobe State school shooting: Gunmen attacked the Government Secondary School boarding school in a pre dawn raid. Most of the victims were students, with the exception of a few staff members and at least 1 teacher. More than 100 people were reported missing in the aftermath of the attack. Survivors were treated for burn and gunshot wounds, while some of the students were burned alive. ","9.6000359,7.9999721",Assault,2013
7/2/2013,Iraq,,,,,,234,86,"July 2013 Iraq attacks: Five car bombs exploded in predominantly Shia areas of the capital city at about 18:00 in the neighbourhoods of Shuala, Kamiliyah, Shaab and Abu Tcheer. Other shootings in the city also killed 4 people. At the same time 2 bombings in Kirkuk and Mosul resulted in 1 person dead and 3 others wounded. ","33.0955793,44.1749775","Assault,Explosion",2013
6/28/2013,United Kingdom,England,Wolverhampton,Northern Europe,Europe,Pavlo Lapshyn,0,0,Part of 4 attacks by Pavlo Lapshyn. A homemade bomb was left and detonated outside a mosque in Wolverhampton during Friday prayers. ,"52.5847651,-2.127567",Explosion,2013
6/25/2013,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,0,3,"2013 Afghan presidential palace attack: A group of 8 Taliban fighters cleared 2 high level security clearances, entering 1 of the most heavily restricted areas in Kabul. ","34.5260109,69.1776838",,2013
6/22/2013,Pakistan,,,Southern Asia,Asia,Taliban,2,11,2013 Nanga Parbat massacre ,"30.3308401,71.247499",,2013
6/21/2013,Pakistan,Khyber Pakhtunkhwa,Peshawar,Southern Asia,Asia,,25,15,"2013 Peshawar mosque bombing: A suicide bomber blew himself up at a Shiite mosque in a Peshawar's Gulshan neighborhood, killing at least 15 and injuring dozens more. The perpetrators first gunned down a police officer and a security guard, before the suicide bomber went into the mosque. ","34.0123846,71.5787458","Assault,Explosion",2013
6/21/2013,United Kingdom,Walsall,,Northern Europe,Europe,Pavlo Lapshyn,0,0,Part of 4 attacks by Pavlo Lapshyn. A homemade bomb was left and detonated outside a mosque in Walsall during Friday prayers. ,"52.5847949,-1.9822687",Explosion,2013
6/19/2013,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,20,22,"June 2013 Mogadishu attack: A team of militants detonated a car bomb at the main UNDP base in the Somali capital and staged an assault on the compound which left 22 dead and dozens injured. Government forces were able to retake control of the site after a 90 minute shootout which killed 7 attackers, 7 civilians, 4 foreign UN security staff and 4 local guards. ","2.0349312,45.3419183","Assault,Explosion",2013
6/18/2013,Pakistan,,,Southern Asia,Asia,,60,28,"2013 Mardan funeral bombing: A suicide bomber detonated his vest at a funeral in northwest Pakistan, killing 28 and injuring scores more. Among those killed in the attack was Imran Khan Mohmand, who was previously an independent MPA. ","30.3308401,71.247499",Explosion,2013
6/16/2013,Iraq,,,,,Islamic State,174,54,"16 June 2013 Iraq attacks: Insurgents set off a number of coordinated attacks across Iraq, killing more than 50 people and injuring scores more. Deadly attacks took place in Baghdad and Mosul, but most of the incidents focused on the country's south, including Kut, Najaf, Nassiriya and Basra. ","33.0955793,44.1749775",,2013
6/10/2013,Iraq,,,,,Islamic State,289,94,"10 June 2013 Iraq attacks: Insurgents staged another series of coordinated attacks across central and northern parts of Iraq, killing more than 90 people and injuring hundreds more. The incidents included a series of bombing and clashes in Mosul that killed 34 and wounded 123 others. Other attacks targeted Iraqi Army bases, markets, as well as police checkpoints. ","33.0955793,44.1749775",Explosion,2013
5/26/2013,India,Chhattisgarh,,Southern Asia,Asia,Communist Party,32,27,"2013 Naxal attack in Darbha valley: A 10 vehicle convoy carrying Indian National Congress workers was ambushed by around 250 Naxalite rebels after a land mine was triggered in the Darbha valley, a remote area in the Sukma district. Among those killed were Chhattisgarh INC leader Nand Kumar Patel and his son, who were kidnapped during the incident and later found dead, as well as Salwa Judum founder and former state Minister, Mahendra Karma. ","21.6637359,81.8406351",Hostage,2013
5/22/2013,United Kingdom,,,Northern Europe,Europe,,2,1,"Murder of Lee Rigby: British soldier and Drummer Lee Rigby was knocked down by a car in Woolwich, after which the 2 occupants attacked him with knives and a machete, almost decapitating him and dumping the body on the road. The attackers were later injured in a shootout with security forces and subsequently arrested. ","54.7023545,-3.2765753",Assault,2013
5/15/2013,Iraq,,,,,Islamic State,732,449,"May 2013 Iraq attacks: A series of deadly bombings and shootings struck the central and northern parts of Iraq over a period of 7 days, killing at least 449 people and injuring more than 700 others. The deadliest incident was a blast at a Sunni mosque in Baqubah on May 17 that killed 43 and injured 80 others, sparking fears of a return to all out sectarian violence. ","33.0955793,44.1749775","Assault,Explosion",2013
4/29/2013,United Kingdom,Birmingham,,Northern Europe,Europe,Pavlo Lapshyn,0,1,"Part of 4 attacks by Pavlo Lapshyn. 82 year old Mohammed Saleem, a Birmingham resident, was stabbed to death. Lapshyn later went on a campaign of bombing attempts at mosques in the West Midlands. ","52.4796992,-1.9026911","Assault,Explosion",2013
4/23/2013,Iraq,,,,,Islamic State,600,331,"2013 Hawija clashes: On April 23, an Iraqi Army raid against a protest encampment in the city of Hawija, west of Kirkuk, led to dozens of civilian deaths and to several insurgent groups and local tribal militias attacking security forces across the country. At least 331 were killed and almost 600 injured in 4 days of violence, and attacks against security forces and the Sons of Iraq continued at a lower level after that. ","33.0955793,44.1749775",,2013
4/16/2013,India,,,,,,16,0,"2013 Bangalore bombing: A bomb placed on a motorcycle exploded next to the offices of the opposition Bharatiya Janata Party in the southern city of Bangalore, injuring 11 policemen and 5 civilians. ","22.3511148,78.6677428",Explosion,2013
4/15/2013,United States,Massachusetts,Boston,Northern America,Americas,,0,5,"Boston Marathon bombing: Two bombs were detonated near the finish line of the 2013 Boston Marathon, killing at least 3 people and leaving more than 180 others injured. Dzhokhar Tsarnaev and his older brother Tamerlan were identified as the main suspects; Tamerlan was killed during a shootout with police in Watertown, Massachusetts in the early hours of April 19, and Dzhokhar arrested nearby about 18 hours later. The 2 also shot and killed a police officer in Cambridge prior to the police chase. ","42.3554334,-71.060511",Explosion,2013
4/15/2013,Iraq,,,,,,356,75,"15 April 2013 Iraq attacks: A string of attacks across Iraq left 75 dead and approximately 350 others injured. The wave of attacks began with 8 bombings in Baghdad that killed 30 and wounded 92. Attacks also took place in Kirkuk, Baqubah, Tikrit, Fallujah, Nassiriyah and Mussayab, among others. ","33.0955793,44.1749775",Explosion,2013
4/12/2013,Mali,Kidal Region,Kidal,Western Africa,Africa,MOJWA,8,4,"2013 Kidal suicide attack: Two suicide bombers detonated their explosive belts at a market in Kidal, killing 4 Chadian soldiers and injuring 8 others, including 5 civilians. ","19.802089000000002,0.7253124568557916",Explosion,2013
3/19/2013,Iraq,,,,,Islamic State,240,98,"19 March 2013 Iraq attacks: A series of coordinated bombings and shootings across central and northern Iraq killed 98 people and left more than 200 injured on the 10th anniversary of the beginning of the Iraq War. At least 61 were killed and 148 wounded in Baghdad alone, where most of the major attacks took place. ","33.0955793,44.1749775","Assault,Explosion",2013
3/18/2013,Nigeria,Kano,,Western Africa,Africa,,44,41,"2013 Kano bus bombing: A suicide bomber attacked a bus station in a predominantly Christian area of Kano, killing 41 passengers and injuring dozens more. ","11.8948389,8.5364136",Explosion,2013
3/13/2013,India,Jammu and Kashmir,Srinagar,Southern Asia,Asia,,10,5,"March 2013 Srinagar attack: Two gunmen assaulted a CRPF camp in Srinagar, Jammu and Kashmir, killing 5 troops and injuring 10 others. Authorities suspected the Hizbul Mujahideen or Lashkar e Taiba of being behind the attack. ","34.0747444,74.8204443",Assault,2013
3/4/2013,Iraq,,,Western Asia,Asia,Islamic State,10,64,"Akashat ambush: Unidentified gunmen ambushed a Syrian Army convoy escorted by Iraqi soldiers, killing 51 Syrians and 13 Iraqis. The well planned assault took place in Akashat, near the desert border between the 2 nations. The Islamic State of Iraq claimed responsibility for the attack on March 11. ","33.0955793,44.1749775",Assault,2013
3/3/2013,Pakistan,Sindh,Karachi,Southern Asia,Asia,,180,48,March 2013 Karachi bombing: At least 48 people were killed and scores injured after twin bombings struck Shi'ite faithful as they were leaving a prayer hall. Authorities suspected the Sunni militant group Lashkar e Jhangvi of being behind the attacks. ,"24.8546842,67.0207055",Explosion,2013
2/21/2013,India,Telangana,Hyderabad,Southern Asia,Asia,Indian Mujahideen,119,17,"2013 Hyderabad blasts: Two blasts occurred at crowded intersections in the Indian city of Hyderabad, killing 17 and injuring more than 100 others. Authorities suspected the Islamist Indian Mujahideen group of being behind the bombings. ","17.360589,78.4740613",Explosion,2013
2/21/2013,Syria,Damascus Governorate,Damascus,Western Asia,Asia,Al Nusra Front,250,83,"February 2013 Damascus bombings: A huge car bomb exploded next to the Ba'ath Party offices in Damascus, killing 61 and injuring more than 200. The attack killed mostly civilians and was the deadliest in the capital during the civil war. Both the government and the SNC condemned the blast. In addition, 3 bombings killed 22 and injured 50 in the suburb of Barzeh. Most of the victims were government soldiers. ","33.5130695,36.3095814",Explosion,2013
2/16/2013,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Lashkar-e-Jhangvi,190,84,"February 2013 Quetta bombing: A bomb attached to a motorbike exploded at a market in Hazara Town on the outskirts of Quetta, killing at least 84 and injuring almost 200 others. Most of the victims were members of the predominantly Twelver Shia minority, and authorities expected the death toll to rise due to the large number of serious injuries. ","30.1957677,67.0172447",Explosion,2013
2/2/2013,Turkey,Ankara Province,Ankara,Western Asia,Asia,RPLP-F,1,1,"2013 United States embassy bombing in Ankara: A suicide bombing in front of the US embassy in Ankara killed a security guard and injured a journalist. The leftist RPLP F group claimed responsibility for the attack, saying it was in response to NATO's recent deployment of MIM 104 Patriot missiles along the troubled Turkish Syrian border. ","39.9207886,32.8540482",Explosion,2013
1/16/2013,Algeria,,,Northern Africa,Africa,,0,69,"In Amenas hostage crisis: Al Qaeda linked militants under the command of Mokhtar Belmokhtar took more than 800 people hostage at a remote gas facility in Algeria. After a tense 4 day standoff with the Algerian Army and at least 2 assaults, the crisis ended, with at least 40 hostages and 29 militants confirmed dead, while 685 Algerian workers and 107 foreigners were freed. ","28.0000272,2.9999825","Assault,Hostage",2013
1/15/2013,Syria,Aleppo Governorate,Aleppo,Western Asia,Asia,,160,82,"Aleppo University bombings: Two large explosions struck an area between the Aleppo University halls of residence and the faculty of architecture, killing 82 and injuring scores more as students were gathering for the first day of exams. Syrian State TV accused rebels of launching a surface to air missile at the area, while opposition activists said government jets had bombed the campus. ","36.19924,37.1637253",Explosion,2013
1/10/2013,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Lashkar-e-Jhangvi,270,126,"January 2013 Pakistan bombings: A string of bombings hit Pakistan, killing 126 and leaving scores injured. A bombing at a crowded market in Quetta killed 12 and injured 47 in an attack claimed by a Balochistan separatist group. Later, twin blasts took place in quick succession at a snooker hall. A total of 92 people were killed in these attacks, including 9 policemen, 25 rescue workers and 3 journalists who perished in the second one. In addition, an explosion at a Tableeghi Jamaat seminary in the Swat Valley, outside of Saidu Sharif, killed 22 people and wounded 60. ","30.1957677,67.0172447",Explosion,2013
12/28/2012,Nigeria,Borno,Maiduguri,Western Africa,Africa,,0,15,"Three days after the Christmas Day attacks, on 28 December, in the village of Musari 15 Christians were killed. Attackers invaded the village and cut their throats while asleep. It concerns a traffic police officer and 14 civilians. ","11.8395375,13.1536214",,2012
12/25/2012,Nigeria,Borno,Maiduguri,Western Africa,Africa,,0,12,"Two shootings in Nigeria occurred on Christmas Day church services in northern Nigeria on 25 December 2012, at churches in Maiduguri and Potiskum. At least 12 casualties were reported. Terror organization Boko Haram claimed not to be responsible, however is suspected to be. ","11.8395375,13.1536214",Assault,2012
11/21/2012,Israel,Tel Aviv District,Tel Aviv,Western Asia,Asia,,28,0,"An explosion on a passenger bus near the defense ministry in Tel Aviv injured 28 people, 3 of them seriously. The blast came hours before an Egyptian brokered truce was called to halt the Israeli operation in the Gaza Strip. This was the first serious bombing in Israel's commercial capital since 2006. ","32.0852997,34.7818064",Explosion,2012
10/19/2012,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,110,8,"A car bomb exploded at Sassine Square in the Lebanese capital of Beirut, killing at least 8 people (including a top intelligence officer) and wounding 110 others. Lebanese officials said the target was Wissam al Hassan, the head of the intelligence branch of the Lebanese Internal Security Forces and a prominent Sunni figure in the country. This was the first car bombing in Beirut since 2008. ","33.8959203,35.47843",Explosion,2012
9/11/2012,Libya,,,,,Ansar Al Shariah,0,4,"Heavily armed Islamist militants stormed and burned the American Consulate in the eastern city of Benghazi, killing the United States ambassador to Libya, J. Christopher Stevens, and 3 others: Sean Smith, a Foreign Service Officer, and Tyrone S. Woods and Glen A. Doherty, both former members of the Navy SEALs who helped protect diplomatic personnel ","26.8234472,18.1236723",,2012
9/9/2012,Iraq,,,,,Islamic State,371,108,"A wave of attacks across Iraq left more than 100 dead and hundreds injured. Car bombs and shootings erupted across numerous Iraqi cities, while insurgents assault a small Iraqi Army base near Dujail. Two early blasts in Baghdad killed four, before a late night series of car bombings shook the capital, killing 32 and leaving 102 injured just hours after fugitive Iraqi Vice President Tariq al Hashimi was sentenced to death in absentia for his alleged involvement in ""death squads"". ","33.0955793,44.1749775","Assault,Explosion",2012
8/20/2012,Turkey,Gaziantep Province,Gaziantep,Western Asia,Asia,,69,9,"A remote controlled car bomb exploded outside a police station close to the border with Syria. At least 9 people were killed and more than 60 injured, most of them police officers. Security officials suspected the PKK was behind the attack, although the group later denied this. ","37.0628317,37.3792617",Explosion,2012
8/16/2012,Iraq,,,,,,417,177,"At least 52 people were killed and 177 killed in attacks across Baghdad, with most casualties from 2 car bombings in the predominantly Shi'ite districts of Zaafaraniya and Sadr City. Numerous other attacks took place across the central and northern parts of the country, killing 76 and injuring 240 others. ","33.0955793,44.1749775",Explosion,2012
8/7/2012,Nigeria,Kogi,Okene,Western Africa,Africa,,0,22,"Three men entered a church near the central Nigerian city of Okene during evening Bible Study, turning off the electricity and shooting at the worshipers inside. At least 19 were killed in the assault and around 20 others injured. Hours later gunmen on a motorcycle attacked an army patrol, killing 2 soldiers and a civilian. ","7.461039550000001,6.398817009039226",Assault,2012
8/5/2012,Egypt,,,,,,7,16,At least 16 Egyptian police officers were killed and 7 others wounded in an armed attack on a police station in north Sinai on the border between Egypt and Israel. ,"26.2540493,29.2675469",,2012
8/1/2012,India,Maharashtra,Pune,Southern Asia,Asia,Indian Mujahideen,1,0,"An as yet unidentified entity orchestrated a series of 4 coordinated low intensity bombing attacks across Pune, the ninth largest metropolis in India resulting in 1 injury. ","18.521428,73.8544541",Explosion,2012
